# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/64/phi_lp	4605690467479601192	0.8343601292454013
G/r44/64/phi_hp	4606674523544751692	0.9436122993506131
G/r44/64/mdot_air	4605155779245257798	0.7749978103689805
G/r44/64/f	4583337284554112213	0.02664557167161948
G/r44/64/Phi_lp	4588467073317770783	0.057636203323721207
G/r44/64/Phi_hp	4589445337800428844	0.06634855355769237
G/r44/64/sp_thrust	4649013131171958039	659.6014092084105
G/r44/65/s	4608533498688228560	1.3000000000000007
G/r44/65/nu_lp	4606551818333772290	0.9299892843035311
G/r44/65/nu_hp	4606290716287447171	0.901001133942842
G/r44/65/Tt4	4653872080561897472	1400.0
G/r44/65/slip	4607327314314844631	1.0321732673452197
G/r44/65/pi_lpc	4613115601588363761	2.634862456372723
